,Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
0,,10,2019,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,,11,2019,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,,12,2019,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,,1,2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,,10,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,,11,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,,12,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,,1,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,,10,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,,11,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,,12,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,,1,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,,10,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,,11,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,,12,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,,1,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,,10,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,,11,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,,12,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,,1,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,,10,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,,11,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22,,12,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,,1,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24,,10,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,,11,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,,12,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27,,1,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,,10,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,,11,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,,12,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,,1,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,,10,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33,,11,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34,,12,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,,1,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,,10,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
37,,11,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
38,,12,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39,,1,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,,10,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41,,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
42,,12,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,,1,2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,,10,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45,,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,,12,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,,1,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,,10,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
