,City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
0,Kirkland,Condo/Co-op,10/1/19,10/31/19,394.74653693303844
1,Kirkland,Condo/Co-op,11/1/19,11/30/19,396.8387750470713
2,Kirkland,Condo/Co-op,12/1/19,12/31/19,398.9421024549048
3,Kirkland,Condo/Co-op,1/1/20,1/31/20,414.50646392234125
4,Kirkland,Townhouse,10/1/19,10/31/19,639.0186499642319
5,Kirkland,Townhouse,11/1/19,11/30/19,647.0054044426172
6,Kirkland,Townhouse,12/1/19,12/31/19,655.0919811203971
7,Kirkland,Townhouse,1/1/20,1/31/20,625.0040896606613
8,Kirkland,All Residential,10/1/19,10/31/19,794.2043638954865
9,Kirkland,All Residential,11/1/19,11/30/19,796.5272940619063
10,Kirkland,All Residential,12/1/19,12/31/19,798.857018455107
11,Kirkland,All Residential,1/1/20,1/31/20,853.9891299899127
12,Kirkland,Single Family Residential,10/1/19,10/31/19,966.2266417882117
13,Kirkland,Single Family Residential,11/1/19,11/30/19,963.2056059551286
14,Kirkland,Single Family Residential,12/1/19,12/31/19,960.194015791531
15,Kirkland,Single Family Residential,1/1/20,1/31/20,1107.4077706518192
16,Kirkland,Multi-Family (2-4 Unit),10/1/19,10/31/19,1879.9233589666437
17,Kirkland,Multi-Family (2-4 Unit),11/1/19,11/30/19,1922.815998857659
18,Kirkland,Multi-Family (2-4 Unit),12/1/19,12/31/19,1966.687284259948
19,Kirkland,Multi-Family (2-4 Unit),1/1/20,1/31/20,1811.0272331192893
20,Sammamish,Condo/Co-op,10/1/19,10/31/19,446.1267219816525
21,Sammamish,Condo/Co-op,11/1/19,11/30/19,452.63560094890164
22,Sammamish,Condo/Co-op,12/1/19,12/31/19,459.2394428567584
23,Sammamish,Condo/Co-op,1/1/20,1/31/20,427.99370880281225
24,Sammamish,Townhouse,10/1/19,10/31/19,698.8083923533922
25,Sammamish,Townhouse,11/1/19,11/30/19,709.6944529258328
26,Sammamish,Townhouse,12/1/19,12/31/19,720.750096914975
27,Sammamish,Townhouse,1/1/20,1/31/20,665.9971642893651
28,Sammamish,All Residential,10/1/19,10/31/19,1023.611237101679
29,Sammamish,All Residential,11/1/19,11/30/19,1038.8090525885805
30,Sammamish,All Residential,12/1/19,12/31/19,1054.2325138941371
31,Sammamish,All Residential,1/1/20,1/31/20,964.8518926112878
32,Sammamish,Single Family Residential,10/1/19,10/31/19,1120.3913690805068
33,Sammamish,Single Family Residential,11/1/19,11/30/19,1135.4946417055082
34,Sammamish,Single Family Residential,12/1/19,12/31/19,1150.8015117967902
35,Sammamish,Single Family Residential,1/1/20,1/31/20,1072.3803940020564
36,Sammamish,Multi-Family (2-4 Unit),10/1/19,10/31/19,1455.1838005694422
37,Sammamish,Multi-Family (2-4 Unit),11/1/19,11/30/19,1470.8807427524314
38,Sammamish,Multi-Family (2-4 Unit),12/1/19,12/31/19,1486.747006497266
39,Sammamish,Multi-Family (2-4 Unit),1/1/20,1/31/20,1417.8794516326736
40,Kenmore,Condo/Co-op,10/1/19,10/31/19,354.4337499633553
41,Kenmore,Condo/Co-op,11/1/19,11/30/19,359.3001908396718
42,Kenmore,Condo/Co-op,12/1/19,12/31/19,364.2334488484
43,Kenmore,Condo/Co-op,1/1/20,1/31/20,344.0717899980973
44,Kenmore,Townhouse,10/1/19,10/31/19,566.9924678746996
45,Kenmore,Townhouse,11/1/19,11/30/19,574.2841488416676
46,Kenmore,Townhouse,12/1/19,12/31/19,581.6696028556088
47,Kenmore,Townhouse,1/1/20,1/31/20,564.4212661151349
48,Kenmore,All Residential,10/1/19,10/31/19,735.4128048064575
49,Kenmore,All Residential,11/1/19,11/30/19,741.8552652409218
50,Kenmore,All Residential,12/1/19,12/31/19,748.3541637686249
51,Kenmore,All Residential,1/1/20,1/31/20,742.1221514808462
52,Kenmore,Single Family Residential,10/1/19,10/31/19,793.2830225123927
53,Kenmore,Single Family Residential,11/1/19,11/30/19,798.5802979680236
54,Kenmore,Single Family Residential,12/1/19,12/31/19,803.9129468357413
55,Kenmore,Single Family Residential,1/1/20,1/31/20,817.187362074266
56,Kenmore,Multi-Family (2-4 Unit),10/1/19,10/31/19,548.9885944922515
57,Kenmore,Multi-Family (2-4 Unit),11/1/19,11/30/19,535.0490493547221
58,Kenmore,Multi-Family (2-4 Unit),12/1/19,12/31/19,521.4634476699056
59,Kenmore,Multi-Family (2-4 Unit),1/1/20,1/31/20,762.8367978874996
60,Snoqualmie,Condo/Co-op,10/1/19,10/31/19,517.4590658567989
61,Snoqualmie,Condo/Co-op,11/1/19,11/30/19,531.8593751980732
62,Snoqualmie,Condo/Co-op,12/1/19,12/31/19,546.6604291060264
63,Snoqualmie,Condo/Co-op,1/1/20,1/31/20,438.96708100821184
64,Snoqualmie,Townhouse,10/1/19,10/31/19,624.0720110511317
65,Snoqualmie,Townhouse,11/1/19,11/30/19,630.3964637571631
66,Snoqualmie,Townhouse,12/1/19,12/31/19,636.7850095507049
67,Snoqualmie,Townhouse,1/1/20,1/31/20,625.873910760642
68,Snoqualmie,All Residential,10/1/19,10/31/19,740.2628917687161
69,Snoqualmie,All Residential,11/1/19,11/30/19,748.6229599238625
70,Snoqualmie,All Residential,12/1/19,12/31/19,757.0774414831317
71,Snoqualmie,All Residential,1/1/20,1/31/20,713.637937214474
72,Snoqualmie,Single Family Residential,10/1/19,10/31/19,785.9619456361927
73,Snoqualmie,Single Family Residential,11/1/19,11/30/19,795.0766140013369
74,Snoqualmie,Single Family Residential,12/1/19,12/31/19,804.2969836410396
75,Snoqualmie,Single Family Residential,1/1/20,1/31/20,756.9023914573902
76,Snoqualmie,Multi-Family (2-4 Unit),10/1/19,10/31/19,271.16348819253693
77,Snoqualmie,Multi-Family (2-4 Unit),11/1/19,11/30/19,236.56782260045424
78,Snoqualmie,Multi-Family (2-4 Unit),12/1/19,12/31/19,206.38595211676036
79,Snoqualmie,Multi-Family (2-4 Unit),1/1/20,1/31/20,982.7558830617875
80,Redmond,Condo/Co-op,10/1/19,10/31/19,409.5364872747928
81,Redmond,Condo/Co-op,11/1/19,11/30/19,412.7838509982911
82,Redmond,Condo/Co-op,12/1/19,12/31/19,416.0569642495609
83,Redmond,Condo/Co-op,1/1/20,1/31/20,420.78788081008105
84,Redmond,Townhouse,10/1/19,10/31/19,664.6394384240807
85,Redmond,Townhouse,11/1/19,11/30/19,669.1587719579153
86,Redmond,Townhouse,12/1/19,12/31/19,673.7088355002531
87,Redmond,Townhouse,1/1/20,1/31/20,688.8829376271258
88,Redmond,All Residential,10/1/19,10/31/19,899.6373136180944
89,Redmond,All Residential,11/1/19,11/30/19,910.849775365353
90,Redmond,All Residential,12/1/19,12/31/19,922.2019815368684
91,Redmond,All Residential,1/1/20,1/31/20,874.826677817547
92,Redmond,Single Family Residential,10/1/19,10/31/19,1035.7962909105443
93,Redmond,Single Family Residential,11/1/19,11/30/19,1044.2371404475418
94,Redmond,Single Family Residential,12/1/19,12/31/19,1052.7467756536182
95,Redmond,Single Family Residential,1/1/20,1/31/20,1048.2590445686014
